‾	overstrek
🤚🏾	hudtype 5, hånd, håndbak, løftet, løftet håndbak: hudtype 5
🤚🏿	hudtype 6, hånd, håndbak, løftet, løftet håndbak: hudtype 6
🖐️	finger, flat hånd med spredte fingre, hånd, spredt
🖐🏻	finger, flat hånd med spredte fingre, flat hånd med spredte fingre: hudtype 1–2, hudtype 1–2, hånd, spredt
🖐🏼	finger, flat hånd med spredte fingre, flat hånd med spredte fingre: hudtype 3, hudtype 3, hånd, spredt
🖐🏽	finger, flat hånd med spredte fingre, flat hånd med spredte fingre: hudtype 4, hudtype 4, hånd, spredt
🖐🏾	finger, flat hånd med spredte fingre, flat hånd med spredte fingre: hudtype 5, hudtype 5, hånd, spredt
🖐🏿	finger, flat hånd med spredte fingre, flat hånd med spredte fingre: hudtype 6, hudtype 6, hånd, spredt
✋️	flat hånd, hevet hånd, håndflate
✋🏻	flat hånd, hevet hånd, hevet hånd: hudtype 1–2, hudtype 1–2, håndflate
✋🏼	flat hånd, hevet hånd, hevet hånd: hudtype 3, hudtype 3, håndflate
✋🏽	flat hånd, hevet hånd, hevet hånd: hudtype 4, hudtype 4, håndflate
✋🏾	flat hånd, hevet hånd, hevet hånd: hudtype 5, hudtype 5, håndflate
✋🏿	flat hånd, hevet hånd, hevet hånd: hudtype 6, hudtype 6, håndflate
🖖	Vulcan-hilsen, finger, hånd, spock, vulcan
🖖🏻	Vulcan-hilsen, Vulcan-hilsen: hudtype 1–2, finger, hudtype 1–2, hånd, spock, vulcan
🖖🏼	Vulcan-hilsen, Vulcan-hilsen: hudtype 3, finger, hudtype 3, hånd, spock, vulcan
🖖🏽	Vulcan-hilsen, Vulcan-hilsen: hudtype 4, finger, hudtype 4, hånd, spock, vulcan
🖖🏾	Vulcan-hilsen, Vulcan-hilsen: hudtype 5, finger, hudtype 5, hånd, spock, vulcan
🖖🏿	Vulcan-hilsen, Vulcan-hilsen: hudtype 6, finger, hudtype 6, hånd, spock, vulcan
🫱	hånd, hånd mot høyre, håndhilse, håndtrykk, høyre, høyrevendt, rekke ut
🫱🏻	hudtype 1–2, hånd, hånd mot høyre: hudtype 1–2, håndhilse, håndtrykk, høyre, høyrevendt, rekke ut
🫱🏼	hudtype 3, hånd, hånd mot høyre: hudtype 3, håndhilse, håndtrykk, høyre, høyrevendt, rekke ut
🫱🏽	hudtype 4, hånd, hånd mot høyre: hudtype 4, håndhilse, håndtrykk, høyre, høyrevendt, rekke ut
🫱🏾	hudtype 5, hånd, hånd mot høyre: hudtype 5, håndhilse, håndtrykk, høyre, høyrevendt, rekke ut
🫱🏿	hudtype 6, hånd, hånd mot høyre: hudtype 6, håndhilse, håndtrykk, høyre, høyrevendt, rekke ut
🫱🏻‍🫲🏼	avtale, hudtype 1–2, hudtype 3, hånd, håndhilse, håndhilse: hudtype 1–2, hudtype 3, håndtrykk, møte
🫱🏻‍🫲🏽	avtale, hudtype 1–2, hudtype 4, hånd, håndhilse, håndhilse: hudtype 1–2, hudtype 4, håndtrykk, møte
🫱🏻‍🫲🏾	avtale, hudtype 1–2, hudtype 5, hånd, håndhilse, håndhilse: hudtype 1–2, hudtype 5, håndtrykk, møte
🫱🏻‍🫲🏿	avtale, hudtype 1–2, hudtype 6, hånd, håndhilse, håndhilse: hudtype 1–2, hudtype 6, håndtrykk, møte
🫱🏼‍🫲🏻	avtale, hudtype 1–2, hudtype 3, hånd, håndhilse, håndhilse: hudtype 3, hudtype 1–2, håndtrykk, møte
🫱🏼‍🫲🏽	avtale, hudtype 3, hudtype 4, hånd, håndhilse, håndhilse: hudtype 3, hudtype 4, håndtrykk, møte
🫱🏼‍🫲🏾	avtale, hudtype 3, hudtype 5, hånd, håndhilse, håndhilse: hudtype 3, hudtype 5, håndtrykk, møte
🫱🏼‍🫲🏿	avtale, hudtype 3, hudtype 6, hånd, håndhilse, håndhilse: hudtype 3, hudtype 6, håndtrykk, møte
🫱🏽‍🫲🏻	avtale, hudtype 1–2, hudtype 4, hånd, håndhilse, håndhilse: hudtype 4, hudtype 1–2, håndtrykk, møte
🫱🏽‍🫲🏼	avtale, hudtype 3, hudtype 4, hånd, håndhilse, håndhilse: hudtype 4, hudtype 3, håndtrykk, møte
🫱🏽‍🫲🏾	avtale, hudtype 4, hudtype 5, hånd, håndhilse, håndhilse: hudtype 4, hudtype 5, håndtrykk, møte
🫱🏽‍🫲🏿	avtale, hudtype 4, hudtype 6, hånd, håndhilse, håndhilse: hudtype 4, hudtype 6, håndtrykk, møte
🫱🏾‍🫲🏻	avtale, hudtype 1–2, hudtype 5, hånd, håndhilse, håndhilse: hudtype 5, hudtype 1–2, håndtrykk, møte
🫱🏾‍🫲🏼	avtale, hudtype 3, hudtype 5, hånd, håndhilse, håndhilse: hudtype 5, hudtype 3, håndtrykk, møte
🫱🏾‍🫲🏽	avtale, hudtype 4, hudtype 5, hånd, håndhilse, håndhilse: hudtype 5, hudtype 4, håndtrykk, møte
🫱🏾‍🫲🏿	avtale, hudtype 5, hudtype 6, hånd, håndhilse, håndhilse: hudtype 5, hudtype 6, håndtrykk, møte
🫱🏿‍🫲🏻	avtale, hudtype 1–2, hudtype 6, hånd, håndhilse, håndhilse: hudtype 6, hudtype 1–2, håndtrykk, møte
🫱🏿‍🫲🏼	avtale, hudtype 3, hudtype 6, hånd, håndhilse, håndhilse: hudtype 6, hudtype 3, håndtrykk, møte
🫱🏿‍🫲🏽	avtale, hudtype 4, hudtype 6, hånd, håndhilse, håndhilse: hudtype 6, hudtype 4, håndtrykk, møte
🫱🏿‍🫲🏾	avtale, hudtype 5, hudtype 6, hånd, håndhilse, håndhilse: hudtype 6, hudtype 5, håndtrykk, møte
🫲	hånd, hånd mot venstre, håndhilse, håndtrykk, rekke ut, venstre, venstrevendt
🫲🏻	hudtype 1–2, hånd, hånd mot venstre: hudtype 1–2, håndhilse, håndtrykk, rekke ut, venstre, venstrevendt
🫲🏼	hudtype 3, hånd, hånd mot venstre: hudtype 3, håndhilse, håndtrykk, rekke ut, venstre, venstrevendt
🫲🏽	hudtype 4, hånd, hånd mot venstre: hudtype 4, håndhilse, håndtrykk, rekke ut, venstre, venstrevendt
🫲🏾	hudtype 5, hånd, hånd mot venstre: hudtype 5, håndhilse, håndtrykk, rekke ut, venstre, venstrevendt
🫲🏿	hudtype 6, hånd, hånd mot venstre: hudtype 6, håndhilse, håndtrykk, rekke ut, venstre, venstrevendt
🫳	avfeie, hand, husj, hånd, håndflaten ned, ned, opp, plukke, slapp, slippe
🫳🏻	avfeie, hand, hudtype 1–2, husj, hånd, håndflaten ned: hudtype 1–2, ned, opp, plukke, slapp, slippe
🫳🏼	avfeie, hand, hudtype 3, husj, hånd, håndflaten ned: hudtype 3, ned, opp, plukke, slapp, slippe
🫳🏽	avfeie, hand, hudtype 4, husj, hånd, håndflaten ned: hudtype 4, ned, opp, plukke, slapp, slippe
🫳🏾	avfeie, hand, hudtype 5, husj, hånd, håndflaten ned: hudtype 5, ned, opp, plukke, slapp, slippe
🫳🏿	avfeie, hand, hudtype 6, husj, hånd, håndflaten ned: hudtype 6, ned, opp, plukke, slapp, slippe
🫴	fortell meg, gripe, holde, hånd, håndflaten opp, invitere, kalle på, kom, lokke, løfte, tilbud, tilby, vet ikke
🫴🏻	fortell meg, gripe, holde, hudtype 1–2, hånd, håndflaten opp, håndflaten opp: hudtype 1–2, invitere, kalle på, kom, lokke, løfte, tilbud, tilby, vet ikke
🫴🏼	fortell meg, gripe, holde, hudtype 3, hånd, håndflaten opp, håndflaten opp: hudtype 3, invitere, kalle på, kom, lokke, løfte, tilbud, tilby, vet ikke
🫴🏽	fortell meg, gripe, holde, hudtype 4, hånd, håndflaten opp, håndflaten opp: hudtype 4, invitere, kalle på, kom, lokke, løfte, tilbud, tilby, vet ikke
🫴🏾	fortell meg, gripe, holde, hudtype 5, hånd, håndflaten opp, håndflaten opp: hudtype 5, invitere, kalle på, kom, lokke, løfte, tilbud, tilby, vet ikke
🫴🏿	fortell meg, gripe, holde, hudtype 6, hånd, håndflaten opp, håndflaten opp: hudtype 6, invitere, kalle på, kom, lokke, løfte, tilbud, tilby, vet ikke
🫷	high five, high-five, holdt, hånd, håndflate hevet mot venstre, mot venstre, nekte, skyv, stopp, venstre, vent
🫷🏻	high five, high-five, holdt, hudtype 1–2, hånd, håndflate hevet mot venstre, håndflate hevet mot venstre: hudtype 1–2, mot venstre, nekte, skyv, stopp, venstre, vent
🫷🏼	high five, high-five, holdt, hudtype 3, hånd, håndflate hevet mot venstre, håndflate hevet mot venstre: hudtype 3, mot venstre, nekte, skyv, stopp, venstre, vent
🫷🏽	high five, high-five, holdt, hudtype 4, hånd, håndflate hevet mot venstre, håndflate hevet mot venstre: hudtype 4, mot venstre, nekte, skyv, stopp, venstre, vent
🫷🏾	high five, high-five, holdt, hudtype 5, hånd, håndflate hevet mot venstre, håndflate hevet mot venstre: hudtype 5, mot venstre, nekte, skyv, stopp, venstre, vent
🫷🏿	high five, high-five, holdt, hudtype 6, hånd, håndflate hevet mot venstre, håndflate hevet mot venstre: hudtype 6, mot venstre, nekte, skyv, stopp, venstre, vent
🫸	high five, high-five, holdt, hånd, håndflate hevet mot høyre, høyre, mot høyre, nekte, skyv, stopp, vent
🫸🏻	high five, high-five, holdt, hudtype 1–2, hånd, håndflate hevet mot høyre, håndflate hevet mot høyre: hudtype 1–2, høyre, mot høyre, nekte, skyv, stopp, vent
🫸🏼	high five, high-five, holdt, hudtype 3, hånd, håndflate hevet mot høyre, håndflate hevet mot høyre: hudtype 3, høyre, mot høyre, nekte, skyv, stopp, vent
🫸🏽	high five, high-five, holdt, hudtype 4, hånd, håndflate hevet mot høyre, håndflate hevet mot høyre: hudtype 4, høyre, mot høyre, nekte, skyv, stopp, vent
🫸🏾	high five, high-five, holdt, hudtype 5, hånd, håndflate hevet mot høyre, håndflate hevet mot høyre: hudtype 5, høyre, mot høyre, nekte, skyv, stopp, vent
🫸🏿	high five, high-five, holdt, hudtype 6, hånd, håndflate hevet mot høyre, håndflate hevet mot høyre: hudtype 6, høyre, mot høyre, nekte, skyv, stopp, vent
👌	OK, OK-hånd, bra, glimrende, greit, hand, hånd, klart, kult, okay, perfekt, supert, ålreit
👌🏻	OK, OK-hånd: hudtype 1–2, bra, glimrende, greit, hand, hudtype 1–2, hånd, klart, kult, okay, perfekt, supert, ålreit
👌🏼	OK, OK-hånd: hudtype 3, bra, glimrende, greit, hand, hudtype 3, hånd, klart, kult, okay, perfekt, supert, ålreit
👌🏽	OK, OK-hånd: hudtype 4, bra, glimrende, greit, hand, hudtype 4, hånd, klart, kult, okay, perfekt, supert, ålreit
👌🏾	OK, OK-hånd: hudtype 5, bra, glimrende, greit, hand, hudtype 5, hånd, klart, kult, okay, perfekt, supert, ålreit
👌🏿	OK, OK-hånd: hudtype 6, bra, glimrende, greit, hand, hudtype 6, hånd, klart, kult, okay, perfekt, supert, ålreit
🤌	betal, fingertupper, fingre, hand, hånd, hånd med fingertuppene sammen, penger, sarkastisk, spørsmål
🤌🏻	betal, fingertupper, fingre, hand, hudtype 1–2, hånd, hånd med fingertuppene sammen: hudtype 1–2, penger, sarkastisk, spørsmål
🤌🏼	betal, fingertupper, fingre, hand, hudtype 3, hånd, hånd med fingertuppene sammen: hudtype 3, penger, sarkastisk, spørsmål
🤌🏽	betal, fingertupper, fingre, hand, hudtype 4, hånd, hånd med fingertuppene sammen: hudtype 4, penger, sarkastisk, spørsmål
🤌🏾	betal, fingertupper, fingre, hand, hudtype 5, hånd, hånd med fingertuppene sammen: hudtype 5, penger, sarkastisk, spørsmål
🤌🏿	betal, fingertupper, fingre, hand, hudtype 6, hånd, hånd med fingertuppene sammen: hudtype 6, penger, sarkastisk, spørsmål
🤏	hand, hånd, hånd som klyper, klype, knipe, lite, smått
🤏🏻	hand, hudtype 1–2, hånd, hånd som klyper: hudtype 1–2, klype, knipe, lite, smått
🤏🏼	hand, hudtype 3, hånd, hånd som klyper: hudtype 3, klype, knipe, lite, smått
🤏🏽	hand, hudtype 4, hånd, hånd som klyper: hudtype 4, klype, knipe, lite, smått
🤏🏾	hand, hudtype 5, hånd, hånd som klyper: hudtype 5, klype, knipe, lite, smått
🤏🏿	hand, hudtype 6, hånd, hånd som klyper: hudtype 6, klype, knipe, lite, smått
✌️	hånd, peace-tegn, seierstegn
✌🏻	hudtype 1–2, hånd, peace-tegn, seierstegn, seierstegn: hudtype 1–2
✌🏼	hudtype 3, hånd, peace-tegn, seierstegn, seierstegn: hudtype 3
✌🏽	hudtype 4, hånd, peace-tegn, seierstegn, seierstegn: hudtype 4
✌🏾	hudtype 5, hånd, peace-tegn, seierstegn, seierstegn: hudtype 5
✌🏿	hudtype 6, hånd, peace-tegn, seierstegn, seierstegn: hudtype 6
🤞	finger, flaks, hand, hell, hånd, kryss, kryssede fingre, lykke, tvi
🤞🏻	finger, flaks, hand, hell, hudtype 1–2, hånd, kryss, kryssede fingre: hudtype 1–2, lykke, tvi
🤞🏼	finger, flaks, hand, hell, hudtype 3, hånd, kryss, kryssede fingre: hudtype 3, lykke, tvi
🤞🏽	finger, flaks, hand, hell, hudtype 4, hånd, kryss, kryssede fingre: hudtype 4, lykke, tvi
🤞🏾	finger, flaks, hand, hell, hudtype 5, hånd, kryss, kryssede fingre: hudtype 5, lykke, tvi
🤞🏿	finger, flaks, hand, hell, hudtype 6, hånd, kryss, kryssede fingre: hudtype 6, lykke, tvi
🫰	dyrt, hand, hånd, hånd med pekefinger og tommel krysset, knips, kostbar, kroner, pekefinger, penger, tommel
🫰🏻	dyrt, hand, hudtype 1–2, hånd, hånd med pekefinger og tommel krysset: hudtype 1–2, knips, kostbar, kroner, pekefinger, penger, tommel
🫰🏼	dyrt, hand, hudtype 3, hånd, hånd med pekefinger og tommel krysset: hudtype 3, knips, kostbar, kroner, pekefinger, penger, tommel
🫰🏽	dyrt, hand, hudtype 4, hånd, hånd med pekefinger og tommel krysset: hudtype 4, knips, kostbar, kroner, pekefinger, penger, tommel
🫰🏾	dyrt, hand, hudtype 5, hånd, hånd med pekefinger og tommel krysset: hudtype 5, knips, kostbar, kroner, pekefinger, penger, tommel
🫰🏿	dyrt, hand, hudtype 6, hånd, hånd med pekefinger og tommel krysset: hudtype 6, knips, kostbar, kroner, pekefinger, penger, tommel
🤟	ILY, glad i deg, glad i deg-tegn, hånd, tegnspråk
🤟🏻	ILY, glad i deg, glad i deg-tegn, glad i deg-tegn: hudtype 1–2, hudtype 1–2, hånd, tegnspråk
🤟🏼	ILY, glad i deg, glad i deg-tegn, glad i deg-tegn: hudtype 3, hudtype 3, hånd, tegnspråk
🤟🏽	ILY, glad i deg, glad i deg-tegn, glad i deg-tegn: hudtype 4, hudtype 4, hånd, tegnspråk
🤟🏾	ILY, glad i deg, glad i deg-tegn, glad i deg-tegn: hudtype 5, hudtype 5, hånd, tegnspråk
🤟🏿	ILY, glad i deg, glad i deg-tegn, glad i deg-tegn: hudtype 6, hudtype 6, hånd, tegnspråk
🤘	bra, finger, horn, hånd, kult, metal, rock, rocke, rocker, rock’n’roll, to fingre
🤘🏻	bra, finger, horn, hudtype 1–2, hånd, kult, metal, rock, rocke, rocker, rock’n’roll, rock’n’roll: hudtype 1–2, to fingre
🤘🏼	bra, finger, horn, hudtype 3, hånd, kult, metal, rock, rocke, rocker, rock’n’roll, rock’n’roll: hudtype 3, to fingre
🤘🏽	bra, finger, horn, hudtype 4, hånd, kult, metal, rock, rocke, rocker, rock’n’roll, rock’n’roll: hudtype 4, to fingre
🤘🏾	bra, finger, horn, hudtype 5, hånd, kult, metal, rock, rocke, rocker, rock’n’roll, rock’n’roll: hudtype 5, to fingre
🤘🏿	bra, finger, horn, hudtype 6, hånd, kult, metal, rock, rocke, rocker, rock’n’roll, rock’n’roll: hudtype 6, to fingre
🤙	hånd, ring meg-hånd, ringe
🤙🏻	hudtype 1–2, hånd, ring meg-hånd, ring meg-hånd: hudtype 1–2, ringe
🤙🏼	hudtype 3, hånd, ring meg-hånd, ring meg-hånd: hudtype 3, ringe
🤙🏽	hudtype 4, hånd, ring meg-hånd, ring meg-hånd: hudtype 4, ringe
🤙🏾	hudtype 5, hånd, ring meg-hånd, ring meg-hånd: hudtype 5, ringe
🤙🏿	hudtype 6, hånd, ring meg-hånd, ring meg-hånd: hudtype 6, ringe
👈️	finger, hånd, pekende finger, peker mot venstre – bakhånd, peker venstre
👈🏻	finger, hudtype 1–2, hånd, pekende finger, peker mot venstre – bakhånd, peker mot venstre – bakhånd: hudtype 1–2, peker venstre
👈🏼	finger, hudtype 3, hånd, pekende finger, peker mot venstre – bakhånd, peker mot venstre – bakhånd: hudtype 3, peker venstre
👈🏽	finger, hudtype 4, hånd, pekende finger, peker mot venstre – bakhånd, peker mot venstre – bakhånd: hudtype 4, peker venstre
👈🏾	finger, hudtype 5, hånd, pekende finger, peker mot venstre – bakhånd, peker mot venstre – bakhånd: hudtype 5, peker venstre
👈🏿	finger, hudtype 6, hånd, pekende finger, peker mot venstre – bakhånd, peker mot venstre – bakhånd: hudtype 6, peker venstre
👉️	finger, hånd, pekende finger, peker mot høyre – bakhånd, peker opp
👉🏻	finger, hudtype 1–2, hånd, pekende finger, peker mot høyre – bakhånd, peker mot høyre – bakhånd: hudtype 1–2, peker opp
👉🏼	finger, hudtype 3, hånd, pekende finger, peker mot høyre – bakhånd, peker mot høyre – bakhånd: hudtype 3, peker opp
👉🏽	finger, hudtype 4, hånd, pekende finger, peker mot høyre – bakhånd, peker mot høyre – bakhånd: hudtype 4, peker opp
👉🏾	finger, hudtype 5, hånd, pekende finger, peker mot høyre – bakhånd, peker mot høyre – bakhånd: hudtype 5, peker opp
👉🏿	finger, hudtype 6, hånd, pekende finger, peker mot høyre – bakhånd, peker mot høyre – bakhånd: hudtype 6, peker opp
👆️	finger, hånd, pekende finger, peker opp, peker opp – bakhånd
👆🏻	finger, hudtype 1–2, hånd, pekende finger, peker opp, peker opp – bakhånd, peker opp – bakhånd: hudtype 1–2
👆🏼	finger, hudtype 3, hånd, pekende finger, peker opp, peker opp – bakhånd, peker opp – bakhånd: hudtype 3
👆🏽	finger, hudtype 4, hånd, pekende finger, peker opp, peker opp – bakhånd, peker opp – bakhånd: hudtype 4
👆🏾	finger, hudtype 5, hånd, pekende finger, peker opp, peker opp – bakhånd, peker opp – bakhånd: hudtype 5
👆🏿	finger, hudtype 6, hånd, pekende finger, peker opp, peker opp – bakhånd, peker opp – bakhånd: hudtype 6
🖕	finger, hånd, kropp, langfinger, vise fingeren
🖕🏻	finger, hudtype 1–2, hånd, kropp, langfinger, langfinger: hudtype 1–2, vise fingeren
🖕🏼	finger, hudtype 3, hånd, kropp, langfinger, langfinger: hudtype 3, vise fingeren
🖕🏽	finger, hudtype 4, hånd, kropp, langfinger, langfinger: hudtype 4, vise fingeren
🖕🏾	finger, hudtype 5, hånd, kropp, langfinger, langfinger: hudtype 5, vise fingeren
🖕🏿	finger, hudtype 6, hånd, kropp, langfinger, langfinger: hudtype 6, vise fingeren
👇️	finger, hånd, pekende finger, peker ned, peker ned – bakhånd
👇🏻	finger, hudtype 1–2, hånd, pekende finger, peker ned, peker ned – bakhånd, peker ned – bakhånd: hudtype 1–2
👇🏼	finger, hudtype 3, hånd, pekende finger, peker ned, peker ned – bakhånd, peker ned – bakhånd: hudtype 3
👇🏽	finger, hudtype 4, hånd, pekende finger, peker ned, peker ned – bakhånd, peker ned – bakhånd: hudtype 4
👇🏾	finger, hudtype 5, hånd, pekende finger, peker ned, peker ned – bakhånd, peker ned – bakhånd: hudtype 5
👇🏿	finger, hudtype 6, hånd, pekende finger, peker ned, peker ned – bakhånd, peker ned – bakhånd: hudtype 6
☝️	finger, hånd, kropp, opp, peke, pekefinger, peker opp
☝🏻	finger, hudtype 1–2, hånd, kropp, opp, peke, pekefinger, peker opp, peker opp: hudtype 1–2
☝🏼	finger, hudtype 3, hånd, kropp, opp, peke, pekefinger, peker opp, peker opp: hudtype 3
