‾	ۇستىڭگى سىزىق
🧛🏻	1–2 تەرى ءتۇسى, ءتىرى ولىك, ءتىس, اجالسىز, ازۋ, تىلسىم, حەللوۋين, عاجايىپ, قان, قانىشەر, قانىشەر ادام, قانىشەر: 1–2 تەرى ءتۇسى, قورقىنىشتى, كوستيۋم, ولمەس
🧛🏼	3-تەرى ءتۇرى, ءتىرى ولىك, ءتىس, اجالسىز, ازۋ, تىلسىم, حەللوۋين, عاجايىپ, قان, قانىشەر, قانىشەر ادام, قانىشەر: 3-تەرى ءتۇرى, قورقىنىشتى, كوستيۋم, ولمەس
🧛🏽	4-تەرى ءتۇسى, ءتىرى ولىك, ءتىس, اجالسىز, ازۋ, تىلسىم, حەللوۋين, عاجايىپ, قان, قانىشەر, قانىشەر ادام, قانىشەر: 4-تەرى ءتۇسى, قورقىنىشتى, كوستيۋم, ولمەس
🧛🏾	5-تەرى ءتۇسى, ءتىرى ولىك, ءتىس, اجالسىز, ازۋ, تىلسىم, حەللوۋين, عاجايىپ, قان, قانىشەر, قانىشەر ادام, قانىشەر: 5-تەرى ءتۇسى, قورقىنىشتى, كوستيۋم, ولمەس
🧛🏿	6-تەرى ءتۇسى, ءتىرى ولىك, ءتىس, اجالسىز, ازۋ, تىلسىم, حەللوۋين, عاجايىپ, قان, قانىشەر, قانىشەر ادام, قانىشەر: 6-تەرى ءتۇسى, قورقىنىشتى, كوستيۋم, ولمەس
🧛‍♂	قانىشەر, ەر, ەر قانىشەر
🧛🏻‍♂	1–2 تەرى ءتۇسى, قانىشەر, ەر, ەر قانىشەر: 1–2 تەرى ءتۇسى
🧛🏼‍♂	3-تەرى ءتۇرى, قانىشەر, ەر, ەر قانىشەر: 3-تەرى ءتۇرى
🧛🏽‍♂	4-تەرى ءتۇسى, قانىشەر, ەر, ەر قانىشەر: 4-تەرى ءتۇسى
🧛🏾‍♂	5-تەرى ءتۇسى, قانىشەر, ەر, ەر قانىشەر: 5-تەرى ءتۇسى
🧛🏿‍♂	6-تەرى ءتۇسى, قانىشەر, ەر, ەر قانىشەر: 6-تەرى ءتۇسى
🧛‍♀	ايەل, ايەل قانىشەر, قانىشەر
🧛🏻‍♀	1–2 تەرى ءتۇسى, ايەل, ايەل قانىشەر: 1–2 تەرى ءتۇسى, قانىشەر
🧛🏼‍♀	3-تەرى ءتۇرى, ايەل, ايەل قانىشەر: 3-تەرى ءتۇرى, قانىشەر
🧛🏽‍♀	4-تەرى ءتۇسى, ايەل, ايەل قانىشەر: 4-تەرى ءتۇسى, قانىشەر
🧛🏾‍♀	5-تەرى ءتۇسى, ايەل, ايەل قانىشەر: 5-تەرى ءتۇسى, قانىشەر
🧛🏿‍♀	6-تەرى ءتۇسى, ايەل, ايەل قانىشەر: 6-تەرى ءتۇسى, قانىشەر
🧜	ادام, بالىق, تەڭىز تۇرعىنى, تەڭىز جاراتىلىستارى, جاراتىلىس, سيرەنا, سۋ پەرىسى, قيال, قۇبىلىس, قۇيرىق, ەرتەگى
🧜🏻	1–2 تەرى ءتۇسى, ادام, بالىق, تەڭىز تۇرعىنى, تەڭىز تۇرعىنى: 1–2 تەرى ءتۇسى, تەڭىز جاراتىلىستارى, جاراتىلىس, سيرەنا, سۋ پەرىسى, قيال, قۇبىلىس, قۇيرىق, ەرتەگى
🧜🏼	3-تەرى ءتۇرى, ادام, بالىق, تەڭىز تۇرعىنى, تەڭىز تۇرعىنى: 3-تەرى ءتۇرى, تەڭىز جاراتىلىستارى, جاراتىلىس, سيرەنا, سۋ پەرىسى, قيال, قۇبىلىس, قۇيرىق, ەرتەگى
🧜🏽	4-تەرى ءتۇسى, ادام, بالىق, تەڭىز تۇرعىنى, تەڭىز تۇرعىنى: 4-تەرى ءتۇسى, تەڭىز جاراتىلىستارى, جاراتىلىس, سيرەنا, سۋ پەرىسى, قيال, قۇبىلىس, قۇيرىق, ەرتەگى
🧜🏾	5-تەرى ءتۇسى, ادام, بالىق, تەڭىز تۇرعىنى, تەڭىز تۇرعىنى: 5-تەرى ءتۇسى, تەڭىز جاراتىلىستارى, جاراتىلىس, سيرەنا, سۋ پەرىسى, قيال, قۇبىلىس, قۇيرىق, ەرتەگى
🧜🏿	6-تەرى ءتۇسى, ادام, بالىق, تەڭىز تۇرعىنى, تەڭىز تۇرعىنى: 6-تەرى ءتۇسى, تەڭىز جاراتىلىستارى, جاراتىلىس, سيرەنا, سۋ پەرىسى, قيال, قۇبىلىس, قۇيرىق, ەرتەگى
🧜‍♂	تريتون, قۇيرىقتى
🧜🏻‍♂	1–2 تەرى ءتۇسى, تريتون, قۇيرىقتى, قۇيرىقتى: 1–2 تەرى ءتۇسى
🧜🏼‍♂	3-تەرى ءتۇرى, تريتون, قۇيرىقتى, قۇيرىقتى: 3-تەرى ءتۇرى
🧜🏽‍♂	4-تەرى ءتۇسى, تريتون, قۇيرىقتى, قۇيرىقتى: 4-تەرى ءتۇسى
🧜🏾‍♂	5-تەرى ءتۇسى, تريتون, قۇيرىقتى, قۇيرىقتى: 5-تەرى ءتۇسى
🧜🏿‍♂	6-تەرى ءتۇسى, تريتون, قۇيرىقتى, قۇيرىقتى: 6-تەرى ءتۇسى
🧜‍♀	سۋ پەرىسى
🧜🏻‍♀	1–2 تەرى ءتۇسى, سۋ پەرىسى, سۋ پەرىسى: 1–2 تەرى ءتۇسى
🧜🏼‍♀	3-تەرى ءتۇرى, سۋ پەرىسى, سۋ پەرىسى: 3-تەرى ءتۇرى
🧜🏽‍♀	4-تەرى ءتۇسى, سۋ پەرىسى, سۋ پەرىسى: 4-تەرى ءتۇسى
🧜🏾‍♀	5-تەرى ءتۇسى, سۋ پەرىسى, سۋ پەرىسى: 5-تەرى ءتۇسى
🧜🏿‍♀	6-تەرى ءتۇسى, سۋ پەرىسى, سۋ پەرىسى: 6-تەرى ءتۇسى
🧝	اڭىز, تاڭعاجايىپ, جاراتىلىس, سيقىرلى, قيال, قۇلاعى ۇزىن, ماقۇلىق, ەرگەجەيلى, ەلىف
🧝🏻	1–2 تەرى ءتۇسى, اڭىز, تاڭعاجايىپ, جاراتىلىس, سيقىرلى, قيال, قۇلاعى ۇزىن, ماقۇلىق, ەرگەجەيلى, ەلىف, ەلىف: 1–2 تەرى ءتۇسى
🧝🏼	3-تەرى ءتۇرى, اڭىز, تاڭعاجايىپ, جاراتىلىس, سيقىرلى, قيال, قۇلاعى ۇزىن, ماقۇلىق, ەرگەجەيلى, ەلىف, ەلىف: 3-تەرى ءتۇرى
🧝🏽	4-تەرى ءتۇسى, اڭىز, تاڭعاجايىپ, جاراتىلىس, سيقىرلى, قيال, قۇلاعى ۇزىن, ماقۇلىق, ەرگەجەيلى, ەلىف, ەلىف: 4-تەرى ءتۇسى
🧝🏾	5-تەرى ءتۇسى, اڭىز, تاڭعاجايىپ, جاراتىلىس, سيقىرلى, قيال, قۇلاعى ۇزىن, ماقۇلىق, ەرگەجەيلى, ەلىف, ەلىف: 5-تەرى ءتۇسى
🧝🏿	6-تەرى ءتۇسى, اڭىز, تاڭعاجايىپ, جاراتىلىس, سيقىرلى, قيال, قۇلاعى ۇزىن, ماقۇلىق, ەرگەجەيلى, ەلىف, ەلىف: 6-تەرى ءتۇسى
🧝‍♂	ەر, ەر ەرگەجەيلى, ەرگەجەيلى
🧝🏻‍♂	1–2 تەرى ءتۇسى, ەر, ەر ەرگەجەيلى: 1–2 تەرى ءتۇسى, ەرگەجەيلى
🧝🏼‍♂	3-تەرى ءتۇرى, ەر, ەر ەرگەجەيلى: 3-تەرى ءتۇرى, ەرگەجەيلى
🧝🏽‍♂	4-تەرى ءتۇسى, ەر, ەر ەرگەجەيلى: 4-تەرى ءتۇسى, ەرگەجەيلى
🧝🏾‍♂	5-تەرى ءتۇسى, ەر, ەر ەرگەجەيلى: 5-تەرى ءتۇسى, ەرگەجەيلى
🧝🏿‍♂	6-تەرى ءتۇسى, ەر, ەر ەرگەجەيلى: 6-تەرى ءتۇسى, ەرگەجەيلى
🧝‍♀	ايەل, ايەل ەرگەجەيلى, ەرگەجەيلى
🧝🏻‍♀	1–2 تەرى ءتۇسى, ايەل, ايەل ەرگەجەيلى: 1–2 تەرى ءتۇسى, ەرگەجەيلى
🧝🏼‍♀	3-تەرى ءتۇرى, ايەل, ايەل ەرگەجەيلى: 3-تەرى ءتۇرى, ەرگەجەيلى
🧝🏽‍♀	4-تەرى ءتۇسى, ايەل, ايەل ەرگەجەيلى: 4-تەرى ءتۇسى, ەرگەجەيلى
🧝🏾‍♀	5-تەرى ءتۇسى, ايەل, ايەل ەرگەجەيلى: 5-تەرى ءتۇسى, ەرگەجەيلى
🧝🏿‍♀	6-تەرى ءتۇسى, ايەل, ايەل ەرگەجەيلى: 6-تەرى ءتۇسى, ەرگەجەيلى
🧞	ارمان, اڭىز, تاڭعاجايىپ, تىلسىم, تىلەك, جىن, دجين, سيقىر, شام, شامدى ىسقىلاۋ, قيال, ەرتەگى
🧞‍♂	جىن, ەر, ەر جىن
🧞‍♀	ايەل, ايەل جىن, جىن
🧟	ءتىرى ولىك, اجالسىز, اقىرزامان, اپوكاليپسيس, باس سۇيەك, حەللوۋين, زومبي, زومبي ادام, سكەلەت, سۇيەك, قاڭقا, قورقىنىشتى, ولمەس
🧟‍♂	زومبي, ەر, ەر زومبي
🧟‍♀	ايەل, ايەل زومبي, زومبي
🧌	تىرول, جاسىل ءداۋ, قيال, قۇبىجىق, ەرتەگى
💆	ادام, باس اۋرۋى, بوساڭسۋ, بەت, بەتكە ماسساج جاساۋ, تىنىشتاندىرۋ, تىنىعۋ, تەراپيا, دەمالۋ, ماسساج, ماسساج جاساتىپ جاتقان ادام, ەمدەۋ
💆🏻	1–2 تەرى ءتۇسى, ادام, باس اۋرۋى, بوساڭسۋ, بەت, بەتكە ماسساج جاساۋ, بەتكە ماسساج جاساۋ: 1–2 تەرى ءتۇسى, تىنىشتاندىرۋ, تىنىعۋ, تەراپيا, دەمالۋ, ماسساج, ماسساج جاساتىپ جاتقان ادام, ەمدەۋ
💆🏼	3-تەرى ءتۇرى, ادام, باس اۋرۋى, بوساڭسۋ, بەت, بەتكە ماسساج جاساۋ, بەتكە ماسساج جاساۋ: 3-تەرى ءتۇرى, تىنىشتاندىرۋ, تىنىعۋ, تەراپيا, دەمالۋ, ماسساج, ماسساج جاساتىپ جاتقان ادام, ەمدەۋ
💆🏽	4-تەرى ءتۇسى, ادام, باس اۋرۋى, بوساڭسۋ, بەت, بەتكە ماسساج جاساۋ, بەتكە ماسساج جاساۋ: 4-تەرى ءتۇسى, تىنىشتاندىرۋ, تىنىعۋ, تەراپيا, دەمالۋ, ماسساج, ماسساج جاساتىپ جاتقان ادام, ەمدەۋ
💆🏾	5-تەرى ءتۇسى, ادام, باس اۋرۋى, بوساڭسۋ, بەت, بەتكە ماسساج جاساۋ, بەتكە ماسساج جاساۋ: 5-تەرى ءتۇسى, تىنىشتاندىرۋ, تىنىعۋ, تەراپيا, دەمالۋ, ماسساج, ماسساج جاساتىپ جاتقان ادام, ەمدەۋ
💆🏿	6-تەرى ءتۇسى, ادام, باس اۋرۋى, بوساڭسۋ, بەت, بەتكە ماسساج جاساۋ, بەتكە ماسساج جاساۋ: 6-تەرى ءتۇسى, تىنىشتاندىرۋ, تىنىعۋ, تەراپيا, دەمالۋ, ماسساج, ماسساج جاساتىپ جاتقان ادام, ەمدەۋ
💆‍♂	بەت, بەتىن ۋاقالاتىپ وتىرعان ەر, ماسساج, ەر
💆🏻‍♂	1–2 تەرى ءتۇسى, بەت, بەتىن ۋاقالاتىپ وتىرعان ەر, بەتىن ۋاقالاتىپ وتىرعان ەر: 1–2 تەرى ءتۇسى, ماسساج, ەر
💆🏼‍♂	3-تەرى ءتۇرى, بەت, بەتىن ۋاقالاتىپ وتىرعان ەر, بەتىن ۋاقالاتىپ وتىرعان ەر: 3-تەرى ءتۇرى, ماسساج, ەر
💆🏽‍♂	4-تەرى ءتۇسى, بەت, بەتىن ۋاقالاتىپ وتىرعان ەر, بەتىن ۋاقالاتىپ وتىرعان ەر: 4-تەرى ءتۇسى, ماسساج, ەر
💆🏾‍♂	5-تەرى ءتۇسى, بەت, بەتىن ۋاقالاتىپ وتىرعان ەر, بەتىن ۋاقالاتىپ وتىرعان ەر: 5-تەرى ءتۇسى, ماسساج, ەر
💆🏿‍♂	6-تەرى ءتۇسى, بەت, بەتىن ۋاقالاتىپ وتىرعان ەر, بەتىن ۋاقالاتىپ وتىرعان ەر: 6-تەرى ءتۇسى, ماسساج, ەر
💆‍♀	ايەل, بەت, بەتىن ۋاقالاتىپ وتىرعان ايەل, ماسساج
💆🏻‍♀	1–2 تەرى ءتۇسى, ايەل, بەت, بەتىن ۋاقالاتىپ وتىرعان ايەل, بەتىن ۋاقالاتىپ وتىرعان ايەل: 1–2 تەرى ءتۇسى, ماسساج
💆🏼‍♀	3-تەرى ءتۇرى, ايەل, بەت, بەتىن ۋاقالاتىپ وتىرعان ايەل, بەتىن ۋاقالاتىپ وتىرعان ايەل: 3-تەرى ءتۇرى, ماسساج
💆🏽‍♀	4-تەرى ءتۇسى, ايەل, بەت, بەتىن ۋاقالاتىپ وتىرعان ايەل, بەتىن ۋاقالاتىپ وتىرعان ايەل: 4-تەرى ءتۇسى, ماسساج
💆🏾‍♀	5-تەرى ءتۇسى, ايەل, بەت, بەتىن ۋاقالاتىپ وتىرعان ايەل, بەتىن ۋاقالاتىپ وتىرعان ايەل: 5-تەرى ءتۇسى, ماسساج
💆🏿‍♀	6-تەرى ءتۇسى, ايەل, بەت, بەتىن ۋاقالاتىپ وتىرعان ايەل, بەتىن ۋاقالاتىپ وتىرعان ايەل: 6-تەرى ءتۇسى, ماسساج
💇	ادام, باربەرشوپ, سالون, ستيل, سۇلۋلىق, شاش قيدىرۋ, شاش قيۋ, شاشتاراز, شاشىن قيدىرىپ جاتقان ادام, قايشى, كوسمەتولوگيا
💇🏻	1–2 تەرى ءتۇسى, ادام, باربەرشوپ, سالون, ستيل, سۇلۋلىق, شاش قيدىرۋ, شاش قيدىرۋ: 1–2 تەرى ءتۇسى, شاش قيۋ, شاشتاراز, شاشىن قيدىرىپ جاتقان ادام, قايشى, كوسمەتولوگيا
💇🏼	3-تەرى ءتۇرى, ادام, باربەرشوپ, سالون, ستيل, سۇلۋلىق, شاش قيدىرۋ, شاش قيدىرۋ: 3-تەرى ءتۇرى, شاش قيۋ, شاشتاراز, شاشىن قيدىرىپ جاتقان ادام, قايشى, كوسمەتولوگيا
💇🏽	4-تەرى ءتۇسى, ادام, باربەرشوپ, سالون, ستيل, سۇلۋلىق, شاش قيدىرۋ, شاش قيدىرۋ: 4-تەرى ءتۇسى, شاش قيۋ, شاشتاراز, شاشىن قيدىرىپ جاتقان ادام, قايشى, كوسمەتولوگيا
💇🏾	5-تەرى ءتۇسى, ادام, باربەرشوپ, سالون, ستيل, سۇلۋلىق, شاش قيدىرۋ, شاش قيدىرۋ: 5-تەرى ءتۇسى, شاش قيۋ, شاشتاراز, شاشىن قيدىرىپ جاتقان ادام, قايشى, كوسمەتولوگيا
💇🏿	6-تەرى ءتۇسى, ادام, باربەرشوپ, سالون, ستيل, سۇلۋلىق, شاش قيدىرۋ, شاش قيدىرۋ: 6-تەرى ءتۇسى, شاش قيۋ, شاشتاراز, شاشىن قيدىرىپ جاتقان ادام, قايشى, كوسمەتولوگيا
💇‍♂	شاش قيۋ, شاشتاراز, شاشىن قيدىرىپ وتىرعان ەر, ەر
💇🏻‍♂	1–2 تەرى ءتۇسى, شاش قيۋ, شاشتاراز, شاشىن قيدىرىپ وتىرعان ەر, شاشىن قيدىرىپ وتىرعان ەر: 1–2 تەرى ءتۇسى, ەر
💇🏼‍♂	3-تەرى ءتۇرى, شاش قيۋ, شاشتاراز, شاشىن قيدىرىپ وتىرعان ەر, شاشىن قيدىرىپ وتىرعان ەر: 3-تەرى ءتۇرى, ەر
💇🏽‍♂	4-تەرى ءتۇسى, شاش قيۋ, شاشتاراز, شاشىن قيدىرىپ وتىرعان ەر, شاشىن قيدىرىپ وتىرعان ەر: 4-تەرى ءتۇسى, ەر
💇🏾‍♂	5-تەرى ءتۇسى, شاش قيۋ, شاشتاراز, شاشىن قيدىرىپ وتىرعان ەر, شاشىن قيدىرىپ وتىرعان ەر: 5-تەرى ءتۇسى, ەر
💇🏿‍♂	6-تەرى ءتۇسى, شاش قيۋ, شاشتاراز, شاشىن قيدىرىپ وتىرعان ەر, شاشىن قيدىرىپ وتىرعان ەر: 6-تەرى ءتۇسى, ەر
💇‍♀	ايەل, شاش قيۋ, شاشىن قيدىرىپ وتىرعان ايەل
💇🏻‍♀	1–2 تەرى ءتۇسى, ايەل, شاش قيۋ, شاشىن قيدىرىپ وتىرعان ايەل, شاشىن قيدىرىپ وتىرعان ايەل: 1–2 تەرى ءتۇسى
💇🏼‍♀	3-تەرى ءتۇرى, ايەل, شاش قيۋ, شاشىن قيدىرىپ وتىرعان ايەل, شاشىن قيدىرىپ وتىرعان ايەل: 3-تەرى ءتۇرى
💇🏽‍♀	4-تەرى ءتۇسى, ايەل, شاش قيۋ, شاشىن قيدىرىپ وتىرعان ايەل, شاشىن قيدىرىپ وتىرعان ايەل: 4-تەرى ءتۇسى
💇🏾‍♀	5-تەرى ءتۇسى, ايەل, شاش قيۋ, شاشىن قيدىرىپ وتىرعان ايەل, شاشىن قيدىرىپ وتىرعان ايەل: 5-تەرى ءتۇسى
💇🏿‍♀	6-تەرى ءتۇسى, ايەل, شاش قيۋ, شاشىن قيدىرىپ وتىرعان ايەل, شاشىن قيدىرىپ وتىرعان ايەل: 6-تەرى ءتۇسى
🚶	ءجۇرىپ كەلە جاتقان ادام, ءجۇرۋ, جاياۋ, جاياۋ جۇرگىنشى, جاياۋ كەلە جاتىر, سەرۋەندەۋ, ەر ادام
🚶🏻	1–2 تەرى ءتۇسى, ءجۇرىپ كەلە جاتقان ادام, ءجۇرۋ, جاياۋ, جاياۋ جۇرگىنشى, جاياۋ كەلە جاتىر, جاياۋ: 1–2 تەرى ءتۇسى, سەرۋەندەۋ, ەر ادام
🚶🏼	3-تەرى ءتۇرى, ءجۇرىپ كەلە جاتقان ادام, ءجۇرۋ, جاياۋ, جاياۋ جۇرگىنشى, جاياۋ كەلە جاتىر, جاياۋ: 3-تەرى ءتۇرى, سەرۋەندەۋ, ەر ادام
🚶🏽	4-تەرى ءتۇسى, ءجۇرىپ كەلە جاتقان ادام, ءجۇرۋ, جاياۋ, جاياۋ جۇرگىنشى, جاياۋ كەلە جاتىر, جاياۋ: 4-تەرى ءتۇسى, سەرۋەندەۋ, ەر ادام
🚶🏾	5-تەرى ءتۇسى, ءجۇرىپ كەلە جاتقان ادام, ءجۇرۋ, جاياۋ, جاياۋ جۇرگىنشى, جاياۋ كەلە جاتىر, جاياۋ: 5-تەرى ءتۇسى, سەرۋەندەۋ, ەر ادام
🚶🏿	6-تەرى ءتۇسى, ءجۇرىپ كەلە جاتقان ادام, ءجۇرۋ, جاياۋ, جاياۋ جۇرگىنشى, جاياۋ كەلە جاتىر, جاياۋ: 6-تەرى ءتۇسى, سەرۋەندەۋ, ەر ادام
🚶‍♂	جاياۋ ءجۇرۋ, جاياۋ ەر, ەر
🚶🏻‍♂	1–2 تەرى ءتۇسى, جاياۋ ءجۇرۋ, جاياۋ ەر, جاياۋ ەر: 1–2 تەرى ءتۇسى, ەر
🚶🏼‍♂	3-تەرى ءتۇرى, جاياۋ ءجۇرۋ, جاياۋ ەر, جاياۋ ەر: 3-تەرى ءتۇرى, ەر
🚶🏽‍♂	4-تەرى ءتۇسى, جاياۋ ءجۇرۋ, جاياۋ ەر, جاياۋ ەر: 4-تەرى ءتۇسى, ەر
🚶🏾‍♂	5-تەرى ءتۇسى, جاياۋ ءجۇرۋ, جاياۋ ەر, جاياۋ ەر: 5-تەرى ءتۇسى, ەر
🚶🏿‍♂	6-تەرى ءتۇسى, جاياۋ ءجۇرۋ, جاياۋ ەر, جاياۋ ەر: 6-تەرى ءتۇسى, ەر
🚶‍♀	ءجۇرۋ, ايەل, جاياۋ ءجۇرۋ, جاياۋ ايەل
🚶🏻‍♀	1–2 تەرى ءتۇسى, ءجۇرۋ, ايەل, جاياۋ ءجۇرۋ, جاياۋ ايەل, جاياۋ ايەل: 1–2 تەرى ءتۇسى
🚶🏼‍♀	3-تەرى ءتۇرى, ءجۇرۋ, ايەل, جاياۋ ءجۇرۋ, جاياۋ ايەل, جاياۋ ايەل: 3-تەرى ءتۇرى
🚶🏽‍♀	4-تەرى ءتۇسى, ءجۇرۋ, ايەل, جاياۋ ءجۇرۋ, جاياۋ ايەل, جاياۋ ايەل: 4-تەرى ءتۇسى
🚶🏾‍♀	5-تەرى ءتۇسى, ءجۇرۋ, ايەل, جاياۋ ءجۇرۋ, جاياۋ ايەل, جاياۋ ايەل: 5-تەرى ءتۇسى
🚶🏿‍♀	6-تەرى ءتۇسى, ءجۇرۋ, ايەل, جاياۋ ءجۇرۋ, جاياۋ ايەل, جاياۋ ايەل: 6-تەرى ءتۇسى
🚶‍➡	ءجۇرىپ كەلە جاتقان ادام, ءجۇرۋ, جاياۋ, جاياۋ جۇرگىنشى, جاياۋ كەلە جاتىر, جاياۋ وڭعا قاراتىلعان, سەرۋەندەۋ, ەر ادام
🚶🏻‍➡	ءجۇرىپ كەلە جاتقان ادام, ءجۇرۋ, جاياۋ, جاياۋ جۇرگىنشى, جاياۋ كەلە جاتىر, جاياۋ وڭعا قاراتىلعان, سەرۋەندەۋ, ەر ادام
🚶🏼‍➡	ءجۇرىپ كەلە جاتقان ادام, ءجۇرۋ, جاياۋ, جاياۋ جۇرگىنشى, جاياۋ كەلە جاتىر, جاياۋ وڭعا قاراتىلعان, سەرۋەندەۋ, ەر ادام
🚶🏽‍➡	ءجۇرىپ كەلە جاتقان ادام, ءجۇرۋ, جاياۋ, جاياۋ جۇرگىنشى, جاياۋ كەلە جاتىر, جاياۋ وڭعا قاراتىلعان, سەرۋەندەۋ, ەر ادام
🚶🏾‍➡	ءجۇرىپ كەلە جاتقان ادام, ءجۇرۋ, جاياۋ, جاياۋ جۇرگىنشى, جاياۋ كەلە جاتىر, جاياۋ وڭعا قاراتىلعان, سەرۋەندەۋ, ەر ادام
🚶🏿‍➡	ءجۇرىپ كەلە جاتقان ادام, ءجۇرۋ, جاياۋ, جاياۋ جۇرگىنشى, جاياۋ كەلە جاتىر, جاياۋ وڭعا قاراتىلعان, سەرۋەندەۋ, ەر ادام
🚶‍♀‍➡	ءجۇرۋ, ايەل, جاياۋ ءجۇرۋ, جاياۋ ايەل, جاياۋ ايەل وڭعا قاراتىلعان
🚶🏻‍♀‍➡	ءجۇرۋ, ايەل, جاياۋ ءجۇرۋ, جاياۋ ايەل, جاياۋ ايەل وڭعا قاراتىلعان
🚶🏼‍♀‍➡	ءجۇرۋ, ايەل, جاياۋ ءجۇرۋ, جاياۋ ايەل, جاياۋ ايەل وڭعا قاراتىلعان
🚶🏽‍♀‍➡	ءجۇرۋ, ايەل, جاياۋ ءجۇرۋ, جاياۋ ايەل, جاياۋ ايەل وڭعا قاراتىلعان
🚶🏾‍♀‍➡	ءجۇرۋ, ايەل, جاياۋ ءجۇرۋ, جاياۋ ايەل, جاياۋ ايەل وڭعا قاراتىلعان
🚶🏿‍♀‍➡	ءجۇرۋ, ايەل, جاياۋ ءجۇرۋ, جاياۋ ايەل, جاياۋ ايەل وڭعا قاراتىلعان
🚶‍♂‍➡	جاياۋ ءجۇرۋ, جاياۋ ەر, جاياۋ ەر وڭعا قاراتىلعان, ەر
🚶🏻‍♂‍➡	جاياۋ ءجۇرۋ, جاياۋ ەر, جاياۋ ەر وڭعا قاراتىلعان, ەر
🚶🏼‍♂‍➡	جاياۋ ءجۇرۋ, جاياۋ ەر, جاياۋ ەر وڭعا قاراتىلعان, ەر
🚶🏽‍♂‍➡	جاياۋ ءجۇرۋ, جاياۋ ەر, جاياۋ ەر وڭعا قاراتىلعان, ەر
🚶🏾‍♂‍➡	جاياۋ ءجۇرۋ, جاياۋ ەر, جاياۋ ەر وڭعا قاراتىلعان, ەر
🚶🏿‍♂‍➡	جاياۋ ءجۇرۋ, جاياۋ ەر, جاياۋ ەر وڭعا قاراتىلعان, ەر
🧍	ادام, تۇرىپ تۇرعان, تۇرىپ تۇرعان ادام, تۇرۋ
🧍🏻	1–2 تەرى ءتۇسى, ادام, تۇرىپ تۇرعان, تۇرىپ تۇرعان ادام, تۇرىپ تۇرعان ادام: 1–2 تەرى ءتۇسى, تۇرۋ
🧍🏼	3-تەرى ءتۇرى, ادام, تۇرىپ تۇرعان, تۇرىپ تۇرعان ادام, تۇرىپ تۇرعان ادام: 3-تەرى ءتۇرى, تۇرۋ
🧍🏽	4-تەرى ءتۇسى, ادام, تۇرىپ تۇرعان, تۇرىپ تۇرعان ادام, تۇرىپ تۇرعان ادام: 4-تەرى ءتۇسى, تۇرۋ
🧍🏾	5-تەرى ءتۇسى, ادام, تۇرىپ تۇرعان, تۇرىپ تۇرعان ادام, تۇرىپ تۇرعان ادام: 5-تەرى ءتۇسى, تۇرۋ
🧍🏿	6-تەرى ءتۇسى, ادام, تۇرىپ تۇرعان, تۇرىپ تۇرعان ادام, تۇرىپ تۇرعان ادام: 6-تەرى ءتۇسى, تۇرۋ
🧍‍♂	تۇرىپ تۇرعان, تۇرىپ تۇرعان ەركەك, ەركەك
🧍🏻‍♂	1–2 تەرى ءتۇسى, تۇرىپ تۇرعان, تۇرىپ تۇرعان ەركەك, تۇرىپ تۇرعان ەركەك: 1–2 تەرى ءتۇسى, ەركەك
🧍🏼‍♂	3-تەرى ءتۇرى, تۇرىپ تۇرعان, تۇرىپ تۇرعان ەركەك, تۇرىپ تۇرعان ەركەك: 3-تەرى ءتۇرى, ەركەك
🧍🏽‍♂	4-تەرى ءتۇسى, تۇرىپ تۇرعان, تۇرىپ تۇرعان ەركەك, تۇرىپ تۇرعان ەركەك: 4-تەرى ءتۇسى, ەركەك
🧍🏾‍♂	5-تەرى ءتۇسى, تۇرىپ تۇرعان, تۇرىپ تۇرعان ەركەك, تۇرىپ تۇرعان ەركەك: 5-تەرى ءتۇسى, ەركەك
🧍🏿‍♂	6-تەرى ءتۇسى, تۇرىپ تۇرعان, تۇرىپ تۇرعان ەركەك, تۇرىپ تۇرعان ەركەك: 6-تەرى ءتۇسى, ەركەك
🧍‍♀	ايەل, تۇرىپ تۇرعان, تۇرىپ تۇرعان ايەل
🧍🏻‍♀	1–2 تەرى ءتۇسى, ايەل, تۇرىپ تۇرعان, تۇرىپ تۇرعان ايەل, تۇرىپ تۇرعان ايەل: 1–2 تەرى ءتۇسى
🧍🏼‍♀	3-تەرى ءتۇرى, ايەل, تۇرىپ تۇرعان, تۇرىپ تۇرعان ايەل, تۇرىپ تۇرعان ايەل: 3-تەرى ءتۇرى
🧍🏽‍♀	4-تەرى ءتۇسى, ايەل, تۇرىپ تۇرعان, تۇرىپ تۇرعان ايەل, تۇرىپ تۇرعان ايەل: 4-تەرى ءتۇسى
🧍🏾‍♀	5-تەرى ءتۇسى, ايەل, تۇرىپ تۇرعان, تۇرىپ تۇرعان ايەل, تۇرىپ تۇرعان ايەل: 5-تەرى ءتۇسى
🧍🏿‍♀	6-تەرى ءتۇسى, ايەل, تۇرىپ تۇرعان, تۇرىپ تۇرعان ايەل, تۇرىپ تۇرعان ايەل: 6-تەرى ءتۇسى
🧎	تىزەرلەپ وتىرعان, تىزەرلەپ وتىرعان ادام, تىزەرلەپ وتىرۋ
🧎🏻	1–2 تەرى ءتۇسى, تىزەرلەپ وتىرعان, تىزەرلەپ وتىرعان ادام, تىزەرلەپ وتىرعان ادام: 1–2 تەرى ءتۇسى, تىزەرلەپ وتىرۋ
