‾	forlíne
💇🏿‍♀	baineann, bean, bean ag fáil bearradh gruaige, bean ag fáil bearradh gruaige: ton cnis dorcha, bearradh gruaige, ton cnis dorcha
🚶	coisí, duine ag siúl, siúl réidh, siúlach, siúlóid, siúlóidín, siúlóir, spaisteoireacht
🚶🏻	coisí, coisí: ton cnis geal, duine ag siúl, siúl réidh, siúlach, siúlóid, siúlóidín, siúlóir, spaisteoireacht, ton cnis geal
🚶🏼	coisí, coisí: ton cnis mheánach-gheal, duine ag siúl, siúl réidh, siúlach, siúlóid, siúlóidín, siúlóir, spaisteoireacht, ton cnis mheánach-gheal
🚶🏽	coisí, coisí: ton cnis meánach, duine ag siúl, siúl réidh, siúlach, siúlóid, siúlóidín, siúlóir, spaisteoireacht, ton cnis meánach
🚶🏾	coisí, coisí: ton cnis meándorcha, duine ag siúl, siúl réidh, siúlach, siúlóid, siúlóidín, siúlóir, spaisteoireacht, ton cnis meándorcha
🚶🏿	coisí, coisí: ton cnis dorcha, duine ag siúl, siúl réidh, siúlach, siúlóid, siúlóidín, siúlóir, spaisteoireacht, ton cnis dorcha
🚶‍♂	fear, fear ag siúl, fearann, fánaíocht, siúl
🚶🏻‍♂	fear, fear ag siúl, fear ag siúl: ton cnis geal, fearann, fánaíocht, siúl, ton cnis geal
🚶🏼‍♂	fear, fear ag siúl, fear ag siúl: ton cnis mheánach-gheal, fearann, fánaíocht, siúl, ton cnis mheánach-gheal
🚶🏽‍♂	fear, fear ag siúl, fear ag siúl: ton cnis meánach, fearann, fánaíocht, siúl, ton cnis meánach
🚶🏾‍♂	fear, fear ag siúl, fear ag siúl: ton cnis meándorcha, fearann, fánaíocht, siúl, ton cnis meándorcha
🚶🏿‍♂	fear, fear ag siúl, fear ag siúl: ton cnis dorcha, fearann, fánaíocht, siúl, ton cnis dorcha
🚶‍♀	baineann, bean, bean ag siúl, fánaíocht, siúl
🚶🏻‍♀	baineann, bean, bean ag siúl, bean ag siúl: ton cnis geal, fánaíocht, siúl, ton cnis geal
🚶🏼‍♀	baineann, bean, bean ag siúl, bean ag siúl: ton cnis mheánach-gheal, fánaíocht, siúl, ton cnis mheánach-gheal
🚶🏽‍♀	baineann, bean, bean ag siúl, bean ag siúl: ton cnis meánach, fánaíocht, siúl, ton cnis meánach
🚶🏾‍♀	baineann, bean, bean ag siúl, bean ag siúl: ton cnis meándorcha, fánaíocht, siúl, ton cnis meándorcha
🚶🏿‍♀	baineann, bean, bean ag siúl, bean ag siúl: ton cnis dorcha, fánaíocht, siúl, ton cnis dorcha
🚶‍➡	coisí, coisí aghaidh ar dheis, duine ag siúl, siúl réidh, siúlach, siúlóid, siúlóidín, siúlóir, spaisteoireacht
🚶🏻‍➡	coisí, coisí aghaidh ar dheis, duine ag siúl, siúl réidh, siúlach, siúlóid, siúlóidín, siúlóir, spaisteoireacht
🚶🏼‍➡	coisí, coisí aghaidh ar dheis, duine ag siúl, siúl réidh, siúlach, siúlóid, siúlóidín, siúlóir, spaisteoireacht
🚶🏽‍➡	coisí, coisí aghaidh ar dheis, duine ag siúl, siúl réidh, siúlach, siúlóid, siúlóidín, siúlóir, spaisteoireacht
🚶🏾‍➡	coisí, coisí aghaidh ar dheis, duine ag siúl, siúl réidh, siúlach, siúlóid, siúlóidín, siúlóir, spaisteoireacht
🚶🏿‍➡	coisí, coisí aghaidh ar dheis, duine ag siúl, siúl réidh, siúlach, siúlóid, siúlóidín, siúlóir, spaisteoireacht
🚶‍♀‍➡	baineann, bean, bean ag siúl, bean ag siúl aghaidh ar dheis, fánaíocht, siúl
🚶🏻‍♀‍➡	baineann, bean, bean ag siúl, bean ag siúl aghaidh ar dheis, fánaíocht, siúl
🚶🏼‍♀‍➡	baineann, bean, bean ag siúl, bean ag siúl aghaidh ar dheis, fánaíocht, siúl
🚶🏽‍♀‍➡	baineann, bean, bean ag siúl, bean ag siúl aghaidh ar dheis, fánaíocht, siúl
🚶🏾‍♀‍➡	baineann, bean, bean ag siúl, bean ag siúl aghaidh ar dheis, fánaíocht, siúl
🚶🏿‍♀‍➡	baineann, bean, bean ag siúl, bean ag siúl aghaidh ar dheis, fánaíocht, siúl
🚶‍♂‍➡	fear, fear ag siúl, fear ag siúl aghaidh ar dheis, fearann, fánaíocht, siúl
🚶🏻‍♂‍➡	fear, fear ag siúl, fear ag siúl aghaidh ar dheis, fearann, fánaíocht, siúl
🚶🏼‍♂‍➡	fear, fear ag siúl, fear ag siúl aghaidh ar dheis, fearann, fánaíocht, siúl
🚶🏽‍♂‍➡	fear, fear ag siúl, fear ag siúl aghaidh ar dheis, fearann, fánaíocht, siúl
🚶🏾‍♂‍➡	fear, fear ag siúl, fear ag siúl aghaidh ar dheis, fearann, fánaíocht, siúl
🚶🏿‍♂‍➡	fear, fear ag siúl, fear ag siúl aghaidh ar dheis, fearann, fánaíocht, siúl
🧍	duine ina sheasamh, seasamh
🧍🏻	duine ina sheasamh, duine ina sheasamh: ton cnis geal, seasamh, ton cnis geal
🧍🏼	duine ina sheasamh, duine ina sheasamh: ton cnis mheánach-gheal, seasamh, ton cnis mheánach-gheal
🧍🏽	duine ina sheasamh, duine ina sheasamh: ton cnis meánach, seasamh, ton cnis meánach
🧍🏾	duine ina sheasamh, duine ina sheasamh: ton cnis meándorcha, seasamh, ton cnis meándorcha
🧍🏿	duine ina sheasamh, duine ina sheasamh: ton cnis dorcha, seasamh, ton cnis dorcha
🧍‍♂	fear, fear ina sheasamh, seasamh
🧍🏻‍♂	fear, fear ina sheasamh, fear ina sheasamh: ton cnis geal, seasamh, ton cnis geal
🧍🏼‍♂	fear, fear ina sheasamh, fear ina sheasamh: ton cnis mheánach-gheal, seasamh, ton cnis mheánach-gheal
🧍🏽‍♂	fear, fear ina sheasamh, fear ina sheasamh: ton cnis meánach, seasamh, ton cnis meánach
🧍🏾‍♂	fear, fear ina sheasamh, fear ina sheasamh: ton cnis meándorcha, seasamh, ton cnis meándorcha
🧍🏿‍♂	fear, fear ina sheasamh, fear ina sheasamh: ton cnis dorcha, seasamh, ton cnis dorcha
🧍‍♀	bean, bean ina seasamh, seasamh
🧍🏻‍♀	bean, bean ina seasamh, bean ina seasamh: ton cnis geal, seasamh, ton cnis geal
🧍🏼‍♀	bean, bean ina seasamh, bean ina seasamh: ton cnis mheánach-gheal, seasamh, ton cnis mheánach-gheal
🧍🏽‍♀	bean, bean ina seasamh, bean ina seasamh: ton cnis meánach, seasamh, ton cnis meánach
🧍🏾‍♀	bean, bean ina seasamh, bean ina seasamh: ton cnis meándorcha, seasamh, ton cnis meándorcha
🧍🏿‍♀	bean, bean ina seasamh, bean ina seasamh: ton cnis dorcha, seasamh, ton cnis dorcha
🧎	ar do ghlúine, duine ar a ghlúine, glúine, téigh ar do ghlúine
🧎🏻	ar do ghlúine, duine ar a ghlúine, duine ar a ghlúine: ton cnis geal, glúine, ton cnis geal, téigh ar do ghlúine
🧎🏼	ar do ghlúine, duine ar a ghlúine, duine ar a ghlúine: ton cnis mheánach-gheal, glúine, ton cnis mheánach-gheal, téigh ar do ghlúine
🧎🏽	ar do ghlúine, duine ar a ghlúine, duine ar a ghlúine: ton cnis meánach, glúine, ton cnis meánach, téigh ar do ghlúine
🧎🏾	ar do ghlúine, duine ar a ghlúine, duine ar a ghlúine: ton cnis meándorcha, glúine, ton cnis meándorcha, téigh ar do ghlúine
🧎🏿	ar do ghlúine, duine ar a ghlúine, duine ar a ghlúine: ton cnis dorcha, glúine, ton cnis dorcha, téigh ar do ghlúine
🧎‍♂	ar a ghlúine, fear, fear ar a ghlúine
🧎🏻‍♂	ar a ghlúine, fear, fear ar a ghlúine, fear ar a ghlúine: ton cnis geal, ton cnis geal
🧎🏼‍♂	ar a ghlúine, fear, fear ar a ghlúine, fear ar a ghlúine: ton cnis mheánach-gheal, ton cnis mheánach-gheal
🧎🏽‍♂	ar a ghlúine, fear, fear ar a ghlúine, fear ar a ghlúine: ton cnis meánach, ton cnis meánach
🧎🏾‍♂	ar a ghlúine, fear, fear ar a ghlúine, fear ar a ghlúine: ton cnis meándorcha, ton cnis meándorcha
🧎🏿‍♂	ar a ghlúine, fear, fear ar a ghlúine, fear ar a ghlúine: ton cnis dorcha, ton cnis dorcha
🧎‍♀	ar a glúine, bean, bean ar a glúine
🧎🏻‍♀	ar a glúine, bean, bean ar a glúine, bean ar a glúine: ton cnis geal, ton cnis geal
🧎🏼‍♀	ar a glúine, bean, bean ar a glúine, bean ar a glúine: ton cnis mheánach-gheal, ton cnis mheánach-gheal
🧎🏽‍♀	ar a glúine, bean, bean ar a glúine, bean ar a glúine: ton cnis meánach, ton cnis meánach
🧎🏾‍♀	ar a glúine, bean, bean ar a glúine, bean ar a glúine: ton cnis meándorcha, ton cnis meándorcha
🧎🏿‍♀	ar a glúine, bean, bean ar a glúine, bean ar a glúine: ton cnis dorcha, ton cnis dorcha
🧎‍➡	ar do ghlúine, duine ar a ghlúine, duine ar a ghlúine aghaidh ar dheis, glúine, téigh ar do ghlúine
🧎🏻‍➡	ar do ghlúine, duine ar a ghlúine, duine ar a ghlúine aghaidh ar dheis, glúine, téigh ar do ghlúine
🧎🏼‍➡	ar do ghlúine, duine ar a ghlúine, duine ar a ghlúine aghaidh ar dheis, glúine, téigh ar do ghlúine
🧎🏽‍➡	ar do ghlúine, duine ar a ghlúine, duine ar a ghlúine aghaidh ar dheis, glúine, téigh ar do ghlúine
🧎🏾‍➡	ar do ghlúine, duine ar a ghlúine, duine ar a ghlúine aghaidh ar dheis, glúine, téigh ar do ghlúine
🧎🏿‍➡	ar do ghlúine, duine ar a ghlúine, duine ar a ghlúine aghaidh ar dheis, glúine, téigh ar do ghlúine
🧎‍♀‍➡	ar a glúine, bean, bean ar a glúine, bean ar a glúine aghaidh ar dheis
🧎🏻‍♀‍➡	ar a glúine, bean, bean ar a glúine, bean ar a glúine aghaidh ar dheis
🧎🏼‍♀‍➡	ar a glúine, bean, bean ar a glúine, bean ar a glúine aghaidh ar dheis
🧎🏽‍♀‍➡	ar a glúine, bean, bean ar a glúine, bean ar a glúine aghaidh ar dheis
🧎🏾‍♀‍➡	ar a glúine, bean, bean ar a glúine, bean ar a glúine aghaidh ar dheis
🧎🏿‍♀‍➡	ar a glúine, bean, bean ar a glúine, bean ar a glúine aghaidh ar dheis
🧎‍♂‍➡	ar a ghlúine, fear, fear ar a ghlúine, fear ar a ghlúine aghaidh ar dheis
🧎🏻‍♂‍➡	ar a ghlúine, fear, fear ar a ghlúine, fear ar a ghlúine aghaidh ar dheis
🧎🏼‍♂‍➡	ar a ghlúine, fear, fear ar a ghlúine, fear ar a ghlúine aghaidh ar dheis
🧎🏽‍♂‍➡	ar a ghlúine, fear, fear ar a ghlúine, fear ar a ghlúine aghaidh ar dheis
🧎🏾‍♂‍➡	ar a ghlúine, fear, fear ar a ghlúine, fear ar a ghlúine aghaidh ar dheis
🧎🏿‍♂‍➡	ar a ghlúine, fear, fear ar a ghlúine, fear ar a ghlúine aghaidh ar dheis
🧑‍🦯	dall, duine le cána, inrochtaineacht
🧑🏻‍🦯	dall, duine le cána, duine le cána: ton cnis geal, inrochtaineacht, ton cnis geal
🧑🏼‍🦯	dall, duine le cána, duine le cána: ton cnis mheánach-gheal, inrochtaineacht, ton cnis mheánach-gheal
🧑🏽‍🦯	dall, duine le cána, duine le cána: ton cnis meánach, inrochtaineacht, ton cnis meánach
🧑🏾‍🦯	dall, duine le cána, duine le cána: ton cnis meándorcha, inrochtaineacht, ton cnis meándorcha
🧑🏿‍🦯	dall, duine le cána, duine le cána: ton cnis dorcha, inrochtaineacht, ton cnis dorcha
🧑‍🦯‍➡	dall, duine le cána, duine le cána aghaidh ar dheis, inrochtaineacht
🧑🏻‍🦯‍➡	dall, duine le cána, duine le cána aghaidh ar dheis, inrochtaineacht
🧑🏼‍🦯‍➡	dall, duine le cána, duine le cána aghaidh ar dheis, inrochtaineacht
🧑🏽‍🦯‍➡	dall, duine le cána, duine le cána aghaidh ar dheis, inrochtaineacht
🧑🏾‍🦯‍➡	dall, duine le cána, duine le cána aghaidh ar dheis, inrochtaineacht
🧑🏿‍🦯‍➡	dall, duine le cána, duine le cána aghaidh ar dheis, inrochtaineacht
👨‍🦯	dall, fear, fear le cána, inrochtaineacht
👨🏻‍🦯	dall, fear, fear le cána, fear le cána: ton cnis geal, inrochtaineacht, ton cnis geal
👨🏼‍🦯	dall, fear, fear le cána, fear le cána: ton cnis mheánach-gheal, inrochtaineacht, ton cnis mheánach-gheal
👨🏽‍🦯	dall, fear, fear le cána, fear le cána: ton cnis meánach, inrochtaineacht, ton cnis meánach
👨🏾‍🦯	dall, fear, fear le cána, fear le cána: ton cnis meándorcha, inrochtaineacht, ton cnis meándorcha
👨🏿‍🦯	dall, fear, fear le cána, fear le cána: ton cnis dorcha, inrochtaineacht, ton cnis dorcha
👨‍🦯‍➡	dall, fear, fear le cána, fear le cána aghaidh ar dheis, inrochtaineacht
👨🏻‍🦯‍➡	dall, fear, fear le cána, fear le cána aghaidh ar dheis, inrochtaineacht
👨🏼‍🦯‍➡	dall, fear, fear le cána, fear le cána aghaidh ar dheis, inrochtaineacht
👨🏽‍🦯‍➡	dall, fear, fear le cána, fear le cána aghaidh ar dheis, inrochtaineacht
👨🏾‍🦯‍➡	dall, fear, fear le cána, fear le cána aghaidh ar dheis, inrochtaineacht
👨🏿‍🦯‍➡	dall, fear, fear le cána, fear le cána aghaidh ar dheis, inrochtaineacht
👩‍🦯	bean, bean le cána, dall, inrochtaineacht
👩🏻‍🦯	bean, bean le cána, bean le cána: ton cnis geal, dall, inrochtaineacht, ton cnis geal
👩🏼‍🦯	bean, bean le cána, bean le cána: ton cnis mheánach-gheal, dall, inrochtaineacht, ton cnis mheánach-gheal
👩🏽‍🦯	bean, bean le cána, bean le cána: ton cnis meánach, dall, inrochtaineacht, ton cnis meánach
👩🏾‍🦯	bean, bean le cána, bean le cána: ton cnis meándorcha, dall, inrochtaineacht, ton cnis meándorcha
👩🏿‍🦯	bean, bean le cána, bean le cána: ton cnis dorcha, dall, inrochtaineacht, ton cnis dorcha
👩‍🦯‍➡	bean, bean le cána, bean le cána aghaidh ar dheis, dall, inrochtaineacht
👩🏻‍🦯‍➡	bean, bean le cána, bean le cána aghaidh ar dheis, dall, inrochtaineacht
👩🏼‍🦯‍➡	bean, bean le cána, bean le cána aghaidh ar dheis, dall, inrochtaineacht
👩🏽‍🦯‍➡	bean, bean le cána, bean le cána aghaidh ar dheis, dall, inrochtaineacht
👩🏾‍🦯‍➡	bean, bean le cána, bean le cána aghaidh ar dheis, dall, inrochtaineacht
👩🏿‍🦯‍➡	bean, bean le cána, bean le cána aghaidh ar dheis, dall, inrochtaineacht
🧑‍🦼	duine i gcathaoir rothaí innealta
🧑🏻‍🦼	duine i gcathaoir rothaí innealta, duine i gcathaoir rothaí innealta: ton cnis geal, ton cnis geal
🧑🏼‍🦼	duine i gcathaoir rothaí innealta, duine i gcathaoir rothaí innealta: ton cnis mheánach-gheal, ton cnis mheánach-gheal
🧑🏽‍🦼	duine i gcathaoir rothaí innealta, duine i gcathaoir rothaí innealta: ton cnis meánach, ton cnis meánach
🧑🏾‍🦼	duine i gcathaoir rothaí innealta, duine i gcathaoir rothaí innealta: ton cnis meándorcha, ton cnis meándorcha
🧑🏿‍🦼	duine i gcathaoir rothaí innealta, duine i gcathaoir rothaí innealta: ton cnis dorcha, ton cnis dorcha
🧑‍🦼‍➡	duine i gcathaoir rothaí innealta, duine i gcathaoir rothaí innealta aghaidh ar dheis
🧑🏻‍🦼‍➡	duine i gcathaoir rothaí innealta, duine i gcathaoir rothaí innealta aghaidh ar dheis
🧑🏼‍🦼‍➡	duine i gcathaoir rothaí innealta, duine i gcathaoir rothaí innealta aghaidh ar dheis
🧑🏽‍🦼‍➡	duine i gcathaoir rothaí innealta, duine i gcathaoir rothaí innealta aghaidh ar dheis
🧑🏾‍🦼‍➡	duine i gcathaoir rothaí innealta, duine i gcathaoir rothaí innealta aghaidh ar dheis
🧑🏿‍🦼‍➡	duine i gcathaoir rothaí innealta, duine i gcathaoir rothaí innealta aghaidh ar dheis
👨‍🦼	cathaoir rothaí, fear, fear i cathaoir rothaí innealta, fear i gcathaoir rothaí innealta, inrochtaineacht
👨🏻‍🦼	cathaoir rothaí, fear, fear i cathaoir rothaí innealta, fear i cathaoir rothaí innealta: ton cnis geal, fear i gcathaoir rothaí innealta, inrochtaineacht, ton cnis geal
👨🏼‍🦼	cathaoir rothaí, fear, fear i cathaoir rothaí innealta, fear i cathaoir rothaí innealta: ton cnis mheánach-gheal, fear i gcathaoir rothaí innealta, inrochtaineacht, ton cnis mheánach-gheal
👨🏽‍🦼	cathaoir rothaí, fear, fear i cathaoir rothaí innealta, fear i cathaoir rothaí innealta: ton cnis meánach, fear i gcathaoir rothaí innealta, inrochtaineacht, ton cnis meánach
👨🏾‍🦼	cathaoir rothaí, fear, fear i cathaoir rothaí innealta, fear i cathaoir rothaí innealta: ton cnis meándorcha, fear i gcathaoir rothaí innealta, inrochtaineacht, ton cnis meándorcha
👨🏿‍🦼	cathaoir rothaí, fear, fear i cathaoir rothaí innealta, fear i cathaoir rothaí innealta: ton cnis dorcha, fear i gcathaoir rothaí innealta, inrochtaineacht, ton cnis dorcha
👨‍🦼‍➡	cathaoir rothaí, fear, fear i cathaoir rothaí innealta, fear i cathaoir rothaí innealta aghaidh ar dheis, fear i gcathaoir rothaí innealta, inrochtaineacht
👨🏻‍🦼‍➡	cathaoir rothaí, fear, fear i cathaoir rothaí innealta, fear i cathaoir rothaí innealta aghaidh ar dheis, fear i gcathaoir rothaí innealta, inrochtaineacht
👨🏼‍🦼‍➡	cathaoir rothaí, fear, fear i cathaoir rothaí innealta, fear i cathaoir rothaí innealta aghaidh ar dheis, fear i gcathaoir rothaí innealta, inrochtaineacht
👨🏽‍🦼‍➡	cathaoir rothaí, fear, fear i cathaoir rothaí innealta, fear i cathaoir rothaí innealta aghaidh ar dheis, fear i gcathaoir rothaí innealta, inrochtaineacht
👨🏾‍🦼‍➡	cathaoir rothaí, fear, fear i cathaoir rothaí innealta, fear i cathaoir rothaí innealta aghaidh ar dheis, fear i gcathaoir rothaí innealta, inrochtaineacht
👨🏿‍🦼‍➡	cathaoir rothaí, fear, fear i cathaoir rothaí innealta, fear i cathaoir rothaí innealta aghaidh ar dheis, fear i gcathaoir rothaí innealta, inrochtaineacht
👩‍🦼	bean, bean i gcathaoir rothaí innealta, cathaoir rothaí, inrochtaineacht
👩🏻‍🦼	bean, bean i gcathaoir rothaí innealta, bean i gcathaoir rothaí innealta: ton cnis geal, cathaoir rothaí, inrochtaineacht, ton cnis geal
👩🏼‍🦼	bean, bean i gcathaoir rothaí innealta, bean i gcathaoir rothaí innealta: ton cnis mheánach-gheal, cathaoir rothaí, inrochtaineacht, ton cnis mheánach-gheal
👩🏽‍🦼	bean, bean i gcathaoir rothaí innealta, bean i gcathaoir rothaí innealta: ton cnis meánach, cathaoir rothaí, inrochtaineacht, ton cnis meánach
👩🏾‍🦼	bean, bean i gcathaoir rothaí innealta, bean i gcathaoir rothaí innealta: ton cnis meándorcha, cathaoir rothaí, inrochtaineacht, ton cnis meándorcha
👩🏿‍🦼	bean, bean i gcathaoir rothaí innealta, bean i gcathaoir rothaí innealta: ton cnis dorcha, cathaoir rothaí, inrochtaineacht, ton cnis dorcha
👩‍🦼‍➡	bean, bean i gcathaoir rothaí innealta, bean i gcathaoir rothaí innealta aghaidh ar dheis, cathaoir rothaí, inrochtaineacht
👩🏻‍🦼‍➡	bean, bean i gcathaoir rothaí innealta, bean i gcathaoir rothaí innealta aghaidh ar dheis, cathaoir rothaí, inrochtaineacht
👩🏼‍🦼‍➡	bean, bean i gcathaoir rothaí innealta, bean i gcathaoir rothaí innealta aghaidh ar dheis, cathaoir rothaí, inrochtaineacht
👩🏽‍🦼‍➡	bean, bean i gcathaoir rothaí innealta, bean i gcathaoir rothaí innealta aghaidh ar dheis, cathaoir rothaí, inrochtaineacht
👩🏾‍🦼‍➡	bean, bean i gcathaoir rothaí innealta, bean i gcathaoir rothaí innealta aghaidh ar dheis, cathaoir rothaí, inrochtaineacht
👩🏿‍🦼‍➡	bean, bean i gcathaoir rothaí innealta, bean i gcathaoir rothaí innealta aghaidh ar dheis, cathaoir rothaí, inrochtaineacht
🧑‍🦽	duine i gcathaoir rothaí láimhe
🧑🏻‍🦽	duine i gcathaoir rothaí láimhe, duine i gcathaoir rothaí láimhe: ton cnis geal, ton cnis geal
🧑🏼‍🦽	duine i gcathaoir rothaí láimhe, duine i gcathaoir rothaí láimhe: ton cnis mheánach-gheal, ton cnis mheánach-gheal
🧑🏽‍🦽	duine i gcathaoir rothaí láimhe, duine i gcathaoir rothaí láimhe: ton cnis meánach, ton cnis meánach
🧑🏾‍🦽	duine i gcathaoir rothaí láimhe, duine i gcathaoir rothaí láimhe: ton cnis meándorcha, ton cnis meándorcha
🧑🏿‍🦽	duine i gcathaoir rothaí láimhe, duine i gcathaoir rothaí láimhe: ton cnis dorcha, ton cnis dorcha
🧑‍🦽‍➡	duine i gcathaoir rothaí láimhe, duine i gcathaoir rothaí láimhe aghaidh ar dheis
🧑🏻‍🦽‍➡	duine i gcathaoir rothaí láimhe, duine i gcathaoir rothaí láimhe aghaidh ar dheis
🧑🏼‍🦽‍➡	duine i gcathaoir rothaí láimhe, duine i gcathaoir rothaí láimhe aghaidh ar dheis
🧑🏽‍🦽‍➡	duine i gcathaoir rothaí láimhe, duine i gcathaoir rothaí láimhe aghaidh ar dheis
🧑🏾‍🦽‍➡	duine i gcathaoir rothaí láimhe, duine i gcathaoir rothaí láimhe aghaidh ar dheis
🧑🏿‍🦽‍➡	duine i gcathaoir rothaí láimhe, duine i gcathaoir rothaí láimhe aghaidh ar dheis
👨‍🦽	cathaoir rothaí, fear, fear i gcathaoir rothaí láimhe, inrochtaineacht
👨🏻‍🦽	cathaoir rothaí, fear, fear i gcathaoir rothaí láimhe, fear i gcathaoir rothaí láimhe: ton cnis geal, inrochtaineacht, ton cnis geal
👨🏼‍🦽	cathaoir rothaí, fear, fear i gcathaoir rothaí láimhe, fear i gcathaoir rothaí láimhe: ton cnis mheánach-gheal, inrochtaineacht, ton cnis mheánach-gheal
👨🏽‍🦽	cathaoir rothaí, fear, fear i gcathaoir rothaí láimhe, fear i gcathaoir rothaí láimhe: ton cnis meánach, inrochtaineacht, ton cnis meánach
👨🏾‍🦽	cathaoir rothaí, fear, fear i gcathaoir rothaí láimhe, fear i gcathaoir rothaí láimhe: ton cnis meándorcha, inrochtaineacht, ton cnis meándorcha
👨🏿‍🦽	cathaoir rothaí, fear, fear i gcathaoir rothaí láimhe, fear i gcathaoir rothaí láimhe: ton cnis dorcha, inrochtaineacht, ton cnis dorcha
👨‍🦽‍➡	cathaoir rothaí, fear, fear i gcathaoir rothaí láimhe, fear i gcathaoir rothaí láimhe aghaidh ar dheis, inrochtaineacht
👨🏻‍🦽‍➡	cathaoir rothaí, fear, fear i gcathaoir rothaí láimhe, fear i gcathaoir rothaí láimhe aghaidh ar dheis, inrochtaineacht
👨🏼‍🦽‍➡	cathaoir rothaí, fear, fear i gcathaoir rothaí láimhe, fear i gcathaoir rothaí láimhe aghaidh ar dheis, inrochtaineacht
👨🏽‍🦽‍➡	cathaoir rothaí, fear, fear i gcathaoir rothaí láimhe, fear i gcathaoir rothaí láimhe aghaidh ar dheis, inrochtaineacht
👨🏾‍🦽‍➡	cathaoir rothaí, fear, fear i gcathaoir rothaí láimhe, fear i gcathaoir rothaí láimhe aghaidh ar dheis, inrochtaineacht
👨🏿‍🦽‍➡	cathaoir rothaí, fear, fear i gcathaoir rothaí láimhe, fear i gcathaoir rothaí láimhe aghaidh ar dheis, inrochtaineacht
👩‍🦽	bean, bean i gcathaoir rothaí láimhe, cathaoir rothaí, inrochtaineacht
👩🏻‍🦽	bean, bean i gcathaoir rothaí láimhe, bean i gcathaoir rothaí láimhe: ton cnis geal, cathaoir rothaí, inrochtaineacht, ton cnis geal
👩🏼‍🦽	bean, bean i gcathaoir rothaí láimhe, bean i gcathaoir rothaí láimhe: ton cnis mheánach-gheal, cathaoir rothaí, inrochtaineacht, ton cnis mheánach-gheal
👩🏽‍🦽	bean, bean i gcathaoir rothaí láimhe, bean i gcathaoir rothaí láimhe: ton cnis meánach, cathaoir rothaí, inrochtaineacht, ton cnis meánach
👩🏾‍🦽	bean, bean i gcathaoir rothaí láimhe, bean i gcathaoir rothaí láimhe: ton cnis meándorcha, cathaoir rothaí, inrochtaineacht, ton cnis meándorcha
👩🏿‍🦽	bean, bean i gcathaoir rothaí láimhe, bean i gcathaoir rothaí láimhe: ton cnis dorcha, cathaoir rothaí, inrochtaineacht, ton cnis dorcha
👩‍🦽‍➡	bean, bean i gcathaoir rothaí láimhe, bean i gcathaoir rothaí láimhe aghaidh ar dheis, cathaoir rothaí, inrochtaineacht
👩🏻‍🦽‍➡	bean, bean i gcathaoir rothaí láimhe, bean i gcathaoir rothaí láimhe aghaidh ar dheis, cathaoir rothaí, inrochtaineacht
👩🏼‍🦽‍➡	bean, bean i gcathaoir rothaí láimhe, bean i gcathaoir rothaí láimhe aghaidh ar dheis, cathaoir rothaí, inrochtaineacht
👩🏽‍🦽‍➡	bean, bean i gcathaoir rothaí láimhe, bean i gcathaoir rothaí láimhe aghaidh ar dheis, cathaoir rothaí, inrochtaineacht
👩🏾‍🦽‍➡	bean, bean i gcathaoir rothaí láimhe, bean i gcathaoir rothaí láimhe aghaidh ar dheis, cathaoir rothaí, inrochtaineacht
👩🏿‍🦽‍➡	bean, bean i gcathaoir rothaí láimhe, bean i gcathaoir rothaí láimhe aghaidh ar dheis, cathaoir rothaí, inrochtaineacht
🏃	ag rith, duine ag rith, déan deifir, gasta, luas, maratón, reathaí, rása, spórt
🏃🏻	ag rith, duine ag rith, déan deifir, gasta, luas, maratón, reathaí, reathaí: ton cnis geal, rása, spórt, ton cnis geal
🏃🏼	ag rith, duine ag rith, déan deifir, gasta, luas, maratón, reathaí, reathaí: ton cnis mheánach-gheal, rása, spórt, ton cnis mheánach-gheal
🏃🏽	ag rith, duine ag rith, déan deifir, gasta, luas, maratón, reathaí, reathaí: ton cnis meánach, rása, spórt, ton cnis meánach
🏃🏾	ag rith, duine ag rith, déan deifir, gasta, luas, maratón, reathaí, reathaí: ton cnis meándorcha, rása, spórt, ton cnis meándorcha
🏃🏿	ag rith, duine ag rith, déan deifir, gasta, luas, maratón, reathaí, reathaí: ton cnis dorcha, rása, spórt, ton cnis dorcha
🏃‍♂	ag rith, ag rásáil, fear, fear ag rith, fearann, maratón
🏃🏻‍♂	ag rith, ag rásáil, fear, fear ag rith, fear ag rith: ton cnis geal, fearann, maratón, ton cnis geal
🏃🏼‍♂	ag rith, ag rásáil, fear, fear ag rith, fear ag rith: ton cnis mheánach-gheal, fearann, maratón, ton cnis mheánach-gheal
🏃🏽‍♂	ag rith, ag rásáil, fear, fear ag rith, fear ag rith: ton cnis meánach, fearann, maratón, ton cnis meánach
🏃🏾‍♂	ag rith, ag rásáil, fear, fear ag rith, fear ag rith: ton cnis meándorcha, fearann, maratón, ton cnis meándorcha
🏃🏿‍♂	ag rith, ag rásáil, fear, fear ag rith, fear ag rith: ton cnis dorcha, fearann, maratón, ton cnis dorcha
🏃‍♀	ag rith, ag rásáil, baineann, bean, bean ag rith, maratón
🏃🏻‍♀	ag rith, ag rásáil, baineann, bean, bean ag rith, bean ag rith: ton cnis geal, maratón, ton cnis geal
🏃🏼‍♀	ag rith, ag rásáil, baineann, bean, bean ag rith, bean ag rith: ton cnis mheánach-gheal, maratón, ton cnis mheánach-gheal
